Heure,Balance avant,Balance après,P&L,Action
2023-09-12 18:39:22,5 755.98,5 761.87,+5.89,"Close short position for symbol ACTIVTRADES:USDJPY at price 147.161 for 577767 shares. Position AVG Price was 147.162499, currency: JPY, rate: 0.006796, last updated rate on 2023-09-12T15:51:21Z, point value: 1.000000"
2023-09-12 18:36:09,5 900.95,5 755.98,-144.97,"Close short position for symbol ACTIVTRADES:USDJPY at price 147.138 for 296261 shares. Position AVG Price was 147.066000, currency: JPY, rate: 0.006796, last updated rate on 2023-09-12T15:51:21Z, point value: 1.000000"
2023-09-12 18:26:46,5 902.92,5 900.95,-1.97,"Close short position for symbol ACTIVTRADES:USDJPY at price 147.059 for 144611 shares. Position AVG Price was 147.057000, currency: JPY, rate: 0.006796, last updated rate on 2023-09-12T15:51:21Z, point value: 1.000000"
2023-09-12 17:18:51,5 888.08,5 902.92,+14.84,"Close long position for symbol ACTIVTRADES:GBPJPY at price 183.515 for 136527 shares. Position AVG Price was 183.499000, currency: JPY, rate: 0.006793, last updated rate on 2023-09-12T14:51:19Z, point value: 1.000000"
2023-09-12 14:20:05,6 004.81,5 888.08,-116.73,"Close short position for symbol ACTIVTRADES:GBPJPY at price 183.388 for 69708 shares. Position AVG Price was 183.142000, currency: JPY, rate: 0.006807, last updated rate on 2023-09-12T11:51:15Z, point value: 1.000000"
