Heure,Balance avant,Balance après,Profit,Action
2023-01-23 14:15:34,443.47,472.67,+29.20,"Close short position for symbol CAPITALCOM:EURUSD at price 1.08688 for 50000 shares. Position AVG Price was 1.087464, currency: USD, point value: 1.000000"
2023-01-23 13:51:15,414.86,443.47,+28.61,"Close short position for symbol CAPITALCOM:GBPJPY at price 161.021 for 50000 shares. Position AVG Price was 161.095600, currency: JPY, rate: 0.007670, last updated rate on 2023-01-23T12:17:28Z, point value: 1.000000"
2023-01-23 13:36:17,454.90,414.86,-40.04,"Close long position for symbol CAPITALCOM:GBPJPY at price 161.103 for 80000 shares. Position AVG Price was 161.168250, currency: JPY, rate: 0.007670, last updated rate on 2023-01-23T12:17:28Z, point value: 1.000000"
2023-01-23 12:10:11,472.70,454.90,-17.80,"Close short position for symbol CAPITALCOM:GBPJPY at price 160.902 for 60000 shares. Position AVG Price was 160.863500, currency: JPY, rate: 0.007705, last updated rate on 2023-01-23T10:17:25Z, point value: 1.000000"
2023-01-23 11:42:04,449.20,472.70,+23.50,"Close short position for symbol CAPITALCOM:GBPJPY at price 160.850 for 70000 shares. Position AVG Price was 160.893571, currency: JPY, rate: 0.007705, last updated rate on 2023-01-23T10:17:25Z, point value: 1.000000"
2023-01-23 11:09:29,449.20,449.20,0.00,"Close short position for symbol CAPITALCOM:GBPJPY at price 160.859 for 10000 shares. Position AVG Price was 160.859000, currency: JPY, rate: 0.007700, last updated rate on 2023-01-23T09:17:24Z, point value: 1.000000"
2023-01-23 10:51:29,429.10,449.20,+20.10,"Close long position for symbol CAPITALCOM:GBPJPY at price 161.257 for 80000 shares. Position AVG Price was 161.224375, currency: JPY, rate: 0.007700, last updated rate on 2023-01-23T09:17:24Z, point value: 1.000000"
2023-01-23 10:33:02,430.33,429.10,-1.23,"Close long position for symbol CAPITALCOM:AUDJPY at price 90.929 for 10000 shares. Position AVG Price was 90.945000, currency: JPY, rate: 0.007700, last updated rate on 2023-01-23T09:17:24Z, point value: 1.000000"
2023-01-23 10:27:12,429.41,430.33,+0.92,"Close long position for symbol CAPITALCOM:GBPJPY at price 161.167 for 20000 shares. Position AVG Price was 161.161000, currency: JPY, rate: 0.007700, last updated rate on 2023-01-23T09:17:24Z, point value: 1.000000"
2023-01-23 10:22:26,475.38,429.41,-45.97,"Close short position for symbol CAPITALCOM:GBPJPY at price 161.147 for 80000 shares. Position AVG Price was 161.072375, currency: JPY, rate: 0.007700, last updated rate on 2023-01-23T09:17:24Z, point value: 1.000000"
2023-01-23 08:21:10,473.38,475.38,+2.00,"Close long position for symbol CAPITALCOM:GBPJPY at price 161.568 for 30000 shares. Position AVG Price was 161.559333, currency: JPY, rate: 0.007683, last updated rate on 2023-01-23T07:17:21Z, point value: 1.000000"
2023-01-23 07:42:20,459.37,473.38,+14.01,"Close long position for symbol CAPITALCOM:GBPJPY at price 161.498 for 20000 shares. Position AVG Price was 161.407000, currency: JPY, rate: 0.007698, last updated rate on 2023-01-23T06:17:19Z, point value: 1.000000"
