Heure,Balance avant,Balance après,P&L,Action
2023-10-03 16:12:45,6 498.07,7 529.25,+1 031.18,"Close long position for symbol ACTIVTRADES:USDJPY at price 148.608 for 353907 shares. Position AVG Price was 148.175000, currency: JPY, rate: 0.006669, last updated rate on 2023-10-03T13:42:55Z, point value: 1.000000"
2023-10-03 16:12:01,6 267.79,6 498.07,+230.28,"Close short position for symbol ACTIVTRADES:USDJPY at price 149.724 for 341365 shares. Position AVG Price was 149.825000, currency: JPY, rate: 0.006669, last updated rate on 2023-10-03T13:42:55Z, point value: 1.000000"
2023-10-03 16:10:35,6 259.64,6 267.79,+8.15,"Close short position for symbol ACTIVTRADES:USDJPY at price 150.072 for 407624 shares. Position AVG Price was 150.075000, currency: JPY, rate: 0.006669, last updated rate on 2023-10-03T13:42:55Z, point value: 1.000000"
2023-10-03 16:05:58,6 208.45,6 259.64,+51.19,"Close short position for symbol ACTIVTRADES:USDJPY at price 150.049 for 404290 shares. Position AVG Price was 150.068000, currency: JPY, rate: 0.006669, last updated rate on 2023-10-03T13:42:55Z, point value: 1.000000"
2023-10-03 16:02:59,6 225.25,6 208.45,-16.80,"Close short position for symbol ACTIVTRADES:USDJPY at price 150.010 for 280000 shares. Position AVG Price was 150.001000, currency: JPY, rate: 0.006669, last updated rate on 2023-10-03T13:42:55Z, point value: 1.000000"
2023-10-03 16:02:08,6 186.05,6 225.25,+39.20,"Close long position for symbol ACTIVTRADES:USDJPY at price 149.986 for 280000 shares. Position AVG Price was 149.965000, currency: JPY, rate: 0.006669, last updated rate on 2023-10-03T13:42:55Z, point value: 1.000000"
2023-10-03 16:01:01,6 159.91,6 186.05,+26.14,"Close short position for symbol ACTIVTRADES:USDJPY at price 149.971 for 280000 shares. Position AVG Price was 149.985000, currency: JPY, rate: 0.006669, last updated rate on 2023-10-03T13:42:55Z, point value: 1.000000"
2023-10-03 16:00:08,6 233.83,6 159.91,-73.92,"Close short position for symbol ACTIVTRADES:USDJPY at price 149.919 for 287366 shares. Position AVG Price was 149.880436, currency: JPY, rate: 0.006669, last updated rate on 2023-10-03T13:42:55Z, point value: 1.000000"
2023-10-03 15:52:31,6 238.04,6 233.83,-4.21,"Close short position for symbol ACTIVTRADES:AUDNZD at price 1.06773 for 237157 shares. Position AVG Price was 1.067700, currency: NZD, rate: 0.591331, last updated rate on 2023-10-03T13:41:55Z, point value: 1.000000"
2023-10-03 15:50:01,6 278.97,6 238.04,-40.94,"Close long position for symbol ACTIVTRADES:AUDNZD at price 1.06776 for 238713 shares. Position AVG Price was 1.068050, currency: NZD, rate: 0.591331, last updated rate on 2023-10-03T13:41:55Z, point value: 1.000000"
2023-10-03 15:36:58,6 269.14,6 278.97,+9.83,"Close short position for symbol ACTIVTRADES:GBPJPY at price 181.102 for 98320 shares. Position AVG Price was 181.117000, currency: JPY, rate: 0.006667, last updated rate on 2023-10-03T12:42:54Z, point value: 1.000000"
2023-10-03 15:35:42,6 288.87,6 269.14,-19.73,"Close long position for symbol ACTIVTRADES:GBPJPY at price 181.113 for 98629 shares. Position AVG Price was 181.143000, currency: JPY, rate: 0.006667, last updated rate on 2023-10-03T12:42:54Z, point value: 1.000000"
2023-10-03 15:30:23,6 288.21,6 288.87,+0.66,"Close long position for symbol ACTIVTRADES:GBPJPY at price 181.142 for 197238 shares. Position AVG Price was 181.141500, currency: JPY, rate: 0.006667, last updated rate on 2023-10-03T12:42:54Z, point value: 1.000000"
2023-10-03 15:22:16,6 284.08,6 288.21,+4.13,"Close long position for symbol ACTIVTRADES:NZDJPY at price 88.485 for 123841 shares. Position AVG Price was 88.480000, currency: JPY, rate: 0.006667, last updated rate on 2023-10-03T12:42:54Z, point value: 1.000000"
2023-10-03 15:16:32,6 308.25,6 284.08,-24.18,"Close short position for symbol ACTIVTRADES:AUDUSD at price 0.63013 for 75547 shares. Position AVG Price was 0.629810, currency: USD, point value: 1.000000"
