Heure,Balance avant,Balance après,P&L,Action
2023-10-02 14:11:53,6 238.22,6 308.25,+70.04,"Close long position for symbol ACTIVTRADES:EURGBP at price 0.86610 for 640134 shares. Position AVG Price was 0.866010, currency: GBP, rate: 1.215687, last updated rate on 2023-10-02T11:42:52Z, point value: 1.000000"
2023-10-02 14:07:26,6 246.01,6 238.22,-7.79,"Close short position for symbol ACTIVTRADES:EURGBP at price 0.86633 for 640934 shares. Position AVG Price was 0.866320, currency: GBP, rate: 1.215687, last updated rate on 2023-10-02T11:42:52Z, point value: 1.000000"
2023-10-02 14:05:38,6 223.42,6 246.01,+22.58,"Close short position for symbol ACTIVTRADES:EURGBP at price 0.86636 for 928896 shares. Position AVG Price was 0.866380, currency: GBP, rate: 1.215687, last updated rate on 2023-10-02T11:42:52Z, point value: 1.000000"
2023-10-02 13:31:50,6 088.39,6 223.42,+135.03,"Close long position for symbol ACTIVTRADES:EURGBP at price 0.86683 for 277671 shares. Position AVG Price was 0.866430, currency: GBP, rate: 1.215776, last updated rate on 2023-10-02T10:42:56Z, point value: 1.000000"
2023-10-02 11:09:41,5 928.77,6 088.39,+159.62,"Close short position for symbol ACTIVTRADES:EURGBP at price 0.86622 for 374050 shares. Position AVG Price was 0.866570, currency: GBP, rate: 1.219245, last updated rate on 2023-10-02T08:42:54Z, point value: 1.000000"
2023-10-02 10:58:17,6 016.70,5 928.77,-87.94,"Close long position for symbol ACTIVTRADES:EURGBP at price 0.86654 for 379598 shares. Position AVG Price was 0.866730, currency: GBP, rate: 1.219245, last updated rate on 2023-10-02T08:42:54Z, point value: 1.000000"
2023-10-02 10:15:57,6 108.29,6 016.70,-91.59,"Close long position for symbol ACTIVTRADES:GBPJPY at price 182.512 for 147437 shares. Position AVG Price was 182.605000, currency: JPY, rate: 0.006680, last updated rate on 2023-10-02T07:43:04Z, point value: 1.000000"
2023-10-02 09:57:42,6 095.04,6 108.29,+13.25,"Close short position for symbol ACTIVTRADES:GBPUSD at price 1.21906 for 265001 shares. Position AVG Price was 1.219110, currency: USD, point value: 1.000000"
2023-10-02 09:47:26,6 202.92,6 095.04,-107.88,"Close long position for symbol ACTIVTRADES:GBPUSD at price 1.21948 for 269692 shares. Position AVG Price was 1.219880, currency: USD, point value: 1.000000"
2023-10-02 09:07:33,6 017.76,6 202.92,+185.16,"Close long position for symbol ACTIVTRADES:GBPUSD at price 1.22176 for 231452 shares. Position AVG Price was 1.220960, currency: USD, point value: 1.000000"
2023-10-02 08:34:13,6 032.84,6 017.76,-15.08,"Close long position for symbol ACTIVTRADES:EURJPY at price 158.207 for 451411 shares. Position AVG Price was 158.212000, currency: JPY, rate: 0.006682, last updated rate on 2023-10-02T05:43:02Z, point value: 1.000000"
