Heure,Balance avant,Balance après,P&L,Action
2023-09-07 14:00:34,5 840.55,5 833.76,-6.79,"Close short position for symbol ACTIVTRADES:USDJPY at price 147.285 for 100000 shares. Position AVG Price was 147.275000, currency: JPY, rate: 0.006784, last updated rate on 2023-09-07T11:51:20Z, point value: 1.000000"
2023-09-07 14:00:11,5 840.55,5 840.55,0.00,"Close short position for symbol ACTIVTRADES:USDJPY at price 147.275 for 1000 shares. Position AVG Price was 147.275000, currency: JPY, rate: 0.006784, last updated rate on 2023-09-07T11:51:20Z, point value: 1.000000"
2023-09-07 13:58:55,5 606.72,5 840.55,+233.83,"Close short position for symbol ACTIVTRADES:GBPJPY at price 183.516 for 138983 shares. Position AVG Price was 183.764000, currency: JPY, rate: 0.006784, last updated rate on 2023-09-07T11:51:20Z, point value: 1.000000"
2023-09-07 12:27:49,5 313.19,5 606.72,+293.53,"Close short position for symbol ACTIVTRADES:GBPJPY at price 183.591 for 134873 shares. Position AVG Price was 183.912000, currency: JPY, rate: 0.006780, last updated rate on 2023-09-07T09:51:17Z, point value: 1.000000"
2023-09-07 11:27:20,5 323.76,5 313.19,-10.57,"Close short position for symbol ACTIVTRADES:GBPJPY at price 184.062 for 194873 shares. Position AVG Price was 184.054000, currency: JPY, rate: 0.006780, last updated rate on 2023-09-07T08:51:16Z, point value: 1.000000"
2023-09-07 10:50:01,5 436.04,5 323.76,-112.29,"Close short position for symbol ACTIVTRADES:GBPJPY at price 183.891 for 194873 shares. Position AVG Price was 183.806000, currency: JPY, rate: 0.006779, last updated rate on 2023-09-07T07:51:20Z, point value: 1.000000"
2023-09-07 03:09:11,5 327.10,5 436.04,+108.94,"Close long position for symbol ACTIVTRADES:GBPJPY at price 184.622 for 187335 shares. Position AVG Price was 184.536000, currency: JPY, rate: 0.006762, last updated rate on 2023-09-07T00:51:18Z, point value: 1.000000"
2023-09-07 01:04:39,5 321.69,5 327.10,+5.42,"Close long position for symbol ACTIVTRADES:GBPJPY at price 184.541 for 100000 shares. Position AVG Price was 184.533000, currency: JPY, rate: 0.006771, last updated rate on 2023-09-06T22:51:21Z, point value: 1.000000"
