Heure,Balance avant,Balance après,P&L,Action
2023-09-06 19:41:42,5 251.81,5 321.69,+69.88,"Close long position for symbol ACTIVTRADES:GBPJPY at price 184.554 for 103151 shares. Position AVG Price was 184.454000, currency: JPY, rate: 0.006774, last updated rate on 2023-09-06T16:51:19Z, point value: 1.000000"
2023-09-06 16:34:01,5 359.02,5 251.81,-107.21,"Close long position for symbol ACTIVTRADES:GBPJPY at price 184.304 for 105256 shares. Position AVG Price was 184.454000, currency: JPY, rate: 0.006791, last updated rate on 2023-09-06T13:51:15Z, point value: 1.000000"
2023-09-06 16:16:30,5 310.86,5 359.02,+48.17,"Close long position for symbol ACTIVTRADES:GBPJPY at price 184.443 for 104310 shares. Position AVG Price was 184.375000, currency: JPY, rate: 0.006791, last updated rate on 2023-09-06T13:51:15Z, point value: 1.000000"
2023-09-06 15:38:50,5 310.86,5 310.86,0.00,"Close long position for symbol ACTIVTRADES:GBPJPY at price 184.579 for 100000 shares. Position AVG Price was 184.579000, currency: JPY, rate: 0.006789, last updated rate on 2023-09-06T12:51:13Z, point value: 1.000000"
2023-09-06 15:30:52,5 052.89,5 310.86,+257.96,"Close short position for symbol ACTIVTRADES:GBPJPY at price 184.538 for 100000 shares. Position AVG Price was 184.918000, currency: JPY, rate: 0.006789, last updated rate on 2023-09-06T12:51:13Z, point value: 1.000000"
2023-09-06 02:50:09,5 000.00,5 052.89,+52.89,"Close short position for symbol ACTIVTRADES:GBPJPY at price 185.461 for 100000 shares. Position AVG Price was 185.539000, currency: JPY, rate: 0.006781, last updated rate on 2023-09-05T23:51:23Z, point value: 1.000000"
